File,OVERALL_RunTime(ms),OVERALL_Throughput(ops/sec),TOTAL_GCS_G1_Young_Generation_Count,TOTAL_GC_TIME_G1_Young_Generation_Time(ms),TOTAL_GC_TIME_%_G1_Young_Generation_Time(%),TOTAL_GCs_Count,TOTAL_GC_TIME_Time(ms),TOTAL_GC_TIME_%_Time(%),READ_Operations,READ_AverageLatency(us),READ_MinLatency(us),READ_MaxLatency(us),READ_Return=OK,READ_0,CLEANUP_Operations,CLEANUP_AverageLatency(us),CLEANUP_MinLatency(us),CLEANUP_MaxLatency(us),CLEANUP_0,UPDATE_Operations,UPDATE_AverageLatency(us),UPDATE_MinLatency(us),UPDATE_MaxLatency(us),UPDATE_Return=OK,UPDATE_0,Workload,Write_Concern,DB_Type,Read_Preference,Threads,Target,Minutes,READ_1000,UPDATE_1000
4_writeConcern=acknowledged_result_mongodb_workloada_secondary_20241106_191628.json,1826,547.645126,2,18,0.985761,2,18,0.985761,488,4611.415984,943,149545,488,4680.932632,4,1322.500000,,5284,1322.500000,512,4456.667969,859,172302,512,4485.171598,workloada,acknowledged,mongodb,secondary,4,3000,0.100000,2071.384615,1566.400000
2_writeConcern=acknowledged_result_mongodb_workloada_nearest_20241106_192314.json,1313,761.614623,2,12,0.913938,2,12,0.913938,527,1569.127135,586,84085,527,1575.139048,2,1827.000000,6.000000,3648,1827.000000,473,1349.463002,594,12833,473,1349.463002,workloada,acknowledged,mongodb,nearest,2,3000,0.100000,,
8_writeConcern=acknowledged_result_mongodb_workloada_primary_20241106_191122.json,1356,737.463127,2,17,1.253687,2,17,1.253687,472,5528.644068,931,133349,472,5528.644068,8,479.625000,,3830,479.625000,528,5384.272727,899,133023,528,5384.272727,workloada,acknowledged,mongodb,primary,8,10000,0.100000,,
8_writeConcern=unacknowledged_result_mongodb_workloada_secondary_20241106_185049.json,1403,712.758375,2,11,0.784034,2,11,0.784034,498,5338.263052,901,139494,498,5338.263052,8,516.625000,,4126,516.625000,502,4835.848606,809,131798,502,4835.848606,workloada,unacknowledged,mongodb,secondary,8,5000,0.500000,,
2_writeConcern=journaled_result_mongodb_workloadb_nearest_20241106_215821.json,1558,641.848524,2,11,0.706033,2,11,0.706033,960,1747.501042,641,98489,960,1747.501042,2,1537.500000,6.000000,3069,1537.500000,40,2002.025000,904,13288,40,2002.025000,workloadb,journaled,mongodb,nearest,2,5000,0.300000,,
8_writeConcern=acknowledged_result_mongodb_workloada_secondary_20241106_191901.json,1641,609.384522,2,13,0.792200,2,13,0.792200,472,6829.942797,999,179556,472,6829.942797,8,696.625000,,5564,696.625000,528,5785.467803,852,177119,528,5785.467803,workloada,acknowledged,mongodb,secondary,8,1000,0.100000,,
4_writeConcern=acknowledged_result_mongodb_workloada_primary_20241106_190833.json,1638,610.500611,2,14,0.854701,2,14,0.854701,492,3448.121951,927,122611,492,3448.121951,4,724.500000,,2890,724.500000,507,3220.386588,924,125489,508,3220.386588,workloada,acknowledged,mongodb,primary,4,10000,0.500000,,
8_writeConcern=journaled_result_mongodb_workloadb_primary_20241106_214348.json,1568,637.755102,2,13,0.829082,2,13,0.829082,938,5867.541578,1042,131625,938,5867.541578,8,1420.000000,,11353,1420.000000,62,8941.645161,1251,131996,62,8941.645161,workloadb,journaled,mongodb,primary,8,3000,0.300000,,
4_writeConcern=majority_result_mongodb_workloadb_primary_20241106_221130.json,1501,666.222518,2,11,0.732845,2,11,0.732845,962,3181.399168,633,145769,962,3181.399168,4,921.500000,,3679,921.500000,38,3405.736842,940,34104,38,3405.736842,workloadb,majority,mongodb,primary,4,3000,0.500000,,
8_writeConcern=acknowledged_result_mongodb_workloadb_nearest_20241106_213236.json,1730,578.034682,2,21,1.213873,2,21,1.213873,949,5875.703899,840,183654,950,5869.518947,8,546.000000,,4347,546.000000,50,6266.580000,1244,58402,50,6266.580000,workloadb,acknowledged,mongodb,nearest,8,1000,0.300000,,
2_writeConcern=majority_result_mongodb_workloadb_nearest_20241106_222722.json,1668,599.520384,2,11,0.659472,2,11,0.659472,958,1992.587683,679,99653,958,1992.587683,2,1595.000000,7.000000,3183,1595.000000,42,2369.452381,847,13275,42,2369.452381,workloadb,majority,mongodb,nearest,2,1000,0.300000,,
4_writeConcern=journaled_result_mongodb_workloada_secondary_20241106_194745.json,1535,651.465798,2,11,0.716612,2,11,0.716612,495,3408.018182,851,135919,495,3408.018182,4,986.750000,1.000000,3940,986.750000,505,3257.069307,740,135404,505,3257.069307,workloada,journaled,mongodb,secondary,4,5000,0.100000,,
4_writeConcern=majority_result_mongodb_workloada_secondary_20241106_201931.json,1629,613.873542,2,13,0.798036,2,13,0.798036,507,3511.917160,771,178084,508,3502.698819,4,965.250000,,3855,965.250000,492,3409.313008,780,166303,492,3406.686992,workloada,majority,mongodb,secondary,4,10000,0.300000,,
4_writeConcern=acknowledged_result_mongodb_workloadb_nearest_20241106_213201.json,1393,717.875090,2,11,0.789663,2,11,0.789663,944,2829.317797,635,99791,944,2829.317797,4,970.500000,,3876,970.500000,56,3154.232143,949,29921,56,3154.232143,workloadb,acknowledged,mongodb,nearest,4,10000,0.500000,,
